Time;Nation;Age;Gender;Q01;Q02;Q03;Q04;Q05;Q06;Q07.1;Q07.2;Q07.3;Q07.4;Q07;Q08.1;Q08;
3.15.2024 13:52:13;Indian;27;Female;2;1;safefund;4;Op1.1;Op2.1;0;0;0;0;1;50;2.50;
3.15.2024 13:55:10;Indian;23;Female;4;1;safefund;4;Op1.1;Op2.1;0;0;0;0;1;50;2.50;
3.15.2024 13:59:34;Albanian;23;Male;5;3;riskyfund;3;Op1.3;Op2.2;0;0;0;0;1;2;0.10;
3.15.2024 14:01:37;Indian;23;Male;2;4;safefund;2;Op1.1;Op2.1;0;0;1;1;3;50;2.50;
3.15.2024 14:16:46;Indian;22;Male;5;5;riskyfund;1;Op1.3;Op2.3;0;0;1;1;3;99;4.95;
3.15.2024 14:21:26;Indian;23;Male;4;3;riskyfund;5;Op1.2;Op2.2;0;0;1;1;3;66;3.30;
3.15.2024 14:22:38;Albanian;29;Male;5;2;riskyfund;1;Op1.1;Op2.2;1;1;1;1;5;1;0.05;
3.15.2024 14:22:57;Albanian;24;Female;1;3;riskyfund;3;Op1.1;Op2.1;0;0;0;0;1;NA;NA;
3.15.2024 14:27:35;Albanian;20;Male;4;3;riskyfund;3;Op1.3;Op2.3;1;1;1;1;5;60;3.00;
3.15.2024 14:29:51;Indian;22;Female;4;4;riskyfund;5;Op1.2;Op2.2;1;0;0;0;2;20;1.00;
3.15.2024 14:35:46;Albanian;26;Male;1;2;safefund;2;Op1.2;Op2.2;0;1;0;0;2;26;1.30;
3.15.2024 14:38:44;Albanian;28;Male;3;1;riskyfund;3;Op1.3;Op2.3;0;1;0;1;3;88;4.40;
3.15.2024 15:19:12;Indian;21;Female;4;4;riskyfund;3;Op1.3;Op2.3;1;1;1;1;5;80;4.00;
3.15.2024 15:40:00;Indian;26;Male;5;3;safefund;3;Op1.2;Op2.2;0;0;1;1;3;60;3.00;
3.15.2024 16:03:36;Albanian;51;Female;2;2;riskyfund;3;Op1.3;Op2.2;0;0;1;1;3;NA;NA;
3.15.2024 16:18:30;Chinese;28;Female;4;4;safefund;2;Op1.1;Op2.1;0;0;1;1;3;1;0.05;
3.15.2024 16:23:06;Albanian;55;Female;5;3;riskyfund;3;Op1.3;Op2.3;0;0;0;0;1;7;0.35;
3.15.2024 16:42:49;Albanian;50;Female;5;5;riskyfund;5;Op1.3;Op2.3;1;0;1;0;3;9;0.45;
3.15.2024 16:57:15;Albanian;52;Female;1;2;riskyfund;5;Op1.1;Op2.1;0;0;0;0;1;99;4.95;
3.15.2024 17:00:30;Albanian;21;Male;4;3;riskyfund;4;Op1.1;Op2.3;0;1;0;0;2;10;0.50;
3.15.2024 17:01:50;Albanian;25;Female;4;3;safefund;4;Op1.1;Op2.2;0;0;0;0;1;NA;NA;
3.15.2024 17:36:15;Albanian;21;Male;4;3;riskyfund;2;Op1.3;Op2.1;0;0;0;1;2;40;2.00;
3.15.2024 17:39:54;Indian;23;Male;5;5;riskyfund;1;Op1.3;Op2.3;0;1;1;1;4;80;4.00;
3.15.2024 18:32:40;Albanian;52;Female;3;3;safefund;1;Op1.3;Op2.3;0;1;1;1;4;NA;NA;
3.15.2024 19:31:57;Albanian;48;Female;5;4;riskyfund;4;Op1.3;Op2.2;0;1;0;0;2;90;4.50;
3.15.2024 19:52:24;Albanian;27;Female;3;3;riskyfund;3;Op1.3;Op2.3;0;1;0;1;3;28;1.40;
3.15.2024 20:00:08;Albanian;40;Female;1;1;safefund;5;Op1.1;Op2.1;0;0;0;0;1;1;0.05;
3.16.2024 0:00:02;Albanian;50;Female;5;3;safefund;2;Op1.3;Op2.1;1;1;0;1;4;23;1.15;
3.16.2024 0:08:07;Albanian;20;Male;1;1;riskyfund;1;Op1.2;Op2.2;0;1;1;1;4;65;3.25;
3.16.2024 0:18:00;Albanian;50;Female;5;1;riskyfund;3;Op1.2;Op2.2;1;1;1;1;5;99;4.95;
3.16.2024 3:52:59;Albanian;24;Male;2;3;riskyfund;1;Op1.3;Op2.3;1;1;1;1;5;76;3.80;
3.16.2024 3:53:01;Albanian;51;Female;5;3;riskyfund;1;Op1.3;Op2.3;1;1;1;1;5;79;3.95;
3.16.2024 6:44:23;Indian;23;Female;4;4;riskyfund;4;Op1.2;Op2.1;1;1;0;0;3;7;0.35;
3.16.2024 11:16:45;Indian;22;Male;5;1;riskyfund;4;Op1.1;Op2.1;1;1;1;1;5;65;3.25;
3.16.2024 11:47:50;Indian;50;Female;1;1;safefund;4;Op1.1;Op2.2;0;0;0;0;1;99;4.95;
3.16.2024 12:48:30;Indian;51;Male;1;1;safefund;1;Op1.3;Op2.3;0;1;1;1;4;99;4.95;
3.16.2024 13:22:13;Indian;35;Female;5;5;safefund;2;Op1.2;Op2.2;1;0;1;1;4;56;2.80;
3.16.2024 13:48:38;Indian;51;Male;5;5;riskyfund;3;Op1.2;Op2.2;0;0;0;1;2;33;1.65;
3.16.2024 14:11:07;Indian;49;Female;3;1;riskyfund;5;Op1.1;Op2.1;0;0;0;0;1;99;4.95;
3.16.2024 15:31:11;Indian;50;Female;4;1;safefund;1;Op1.2;Op2.1;0;0;0;0;1;99;4.95;
3.16.2024 18:54:31;Indian;20;Female;5;4;riskyfund;5;Op1.2;Op2.3;1;0;0;1;3;7;0.35;
3.15.2024 11:16:11;Germany;58;Female;1;1;safefund;2;Op1.2;Op2.3;0;0;1;1;3;66;3.30;
3.15.2024 11:16:26;Germany;23;Female;2;1;safefund;2;Op1.1;Op2.1;0;0;1;1;3;40;2.00;
3.15.2024 11:28:49;Germany;24;Female;4;3;safefund;4;Op1.1;Op2.1;0;0;1;1;3;42;2.10;
3.15.2024 11:30:51;Germany;24;Female;3;1;safefund;2;Op1.2;Op2.3;0;1;1;1;4;30;1.50;
3.15.2024 11:30:51;Germany;29;Male;2;2;safefund;1;Op1.2;Op2.3;1;1;1;1;5;69;3.45;
3.15.2024 11:31:17;Germany;22;Female;2;4;riskyfund;1;Op1.1;Op2.1;0;0;1;1;3;30;1.50;
3.15.2024 11:33:06;Germany;27;Female;1;2;safefund;3;Op1.2;Op2.3;0;0;1;1;3;50;2.50;
3.15.2024 11:34:39;Germany;22;Male;5;2;safefund;3;Op1.1;Op2.1;1;0;1;0;3;49;2.45;
3.15.2024 11:44:24;Germany;25;Female;4;1;safefund;2;Op1.2;Op2.2;0;0;1;1;3;70;3.50;
3.15.2024 11:45:32;Germany;30;Female;1;2;riskyfund;5;Op1.3;Op2.3;1;1;1;1;5;60;3.00;
3.15.2024 11:49:31;Germany;42;Male;1;3;safefund;1;Op1.1;Op2.2;0;0;0;1;2;NA;NA;
3.15.2024 11:53:47;Germany;27;Male;5;2;safefund;3;Op1.2;Op2.3;0;0;1;1;3;40;2.00;
3.15.2024 12:08:08;Germany;26;Female;1;2;safefund;1;Op1.1;Op2.2;0;0;0;0;1;20;1.00;
3.15.2024 12:12:15;Germany;29;Diverse;5;3;safefund;5;Op1.1;Op2.3;0;0;0;1;2;30;1.50;
3.15.2024 12:12:42;Germany;23;Male;4;4;safefund;5;Op1.1;Op2.3;0;0;1;1;3;50;2.50;
3.15.2024 12:15:39;Germany;33;Male;3;3;riskyfund;2;Op1.3;Op2.3;0;0;1;1;3;50;2.50;
3.15.2024 12:19:07;Germany;23;Female;4;4;safefund;1;Op1.1;Op2.1;0;0;0;1;2;30;1.50;
3.15.2024 12:21:07;Germany;26;Female;1;2;safefund;1;Op1.2;Op2.3;0;0;0;0;1;50;2.50;
3.15.2024 12:43:42;Germany;26;Female;5;2;safefund;4;Op1.1;Op2.3;0;0;1;1;3;60;3.00;
3.15.2024 14:05:25;Germany;23;Female;2;2;riskyfund;3;Op1.1;Op2.1;0;0;1;1;3;50;2.50;
3.15.2024 14:21:44;Germany;26;Female;3;4;safefund;4;Op1.1;Op2.3;0;0;1;1;3;33;1.65;
3.15.2024 15:54:43;Germany;22;Female;3;1;safefund;4;Op1.3;Op2.3;0;0;0;1;2;50;2.50;
3.15.2024 16:13:45;Germany;26;Female;1;1;safefund;3;Op1.1;Op2.1;0;0;0;1;2;22;1.10;
3.15.2024 16:16:53;Germany;23;Female;3;2;safefund;5;Op1.1;Op2.1;0;0;0;1;2;10;0.50;
3.15.2024 16:51:45;Germany;32;Female;1;1;safefund;2;Op1.1;Op2.1;0;0;0;1;2;60;3.00;
3.15.2024 18:26:50;Germany;23;Female;1;1;safefund;4;Op1.2;Op2.3;0;0;1;1;3;50;2.50;
3.16.2024 0:31:15;Germany;32;Male;3;3;safefund;4;Op1.2;Op2.3;0;0;1;1;3;50;2.50;
3.16.2024 0:39:05;Germany;25;Female;5;1;riskyfund;2;Op1.1;Op2.1;0;0;0;1;2;50;2.50;
3.16.2024 2:39:07;Germany;26;Female;2;2;safefund;2;Op1.2;Op2.3;0;0;1;1;3;40;2.00;
3.16.2024 16:10:32;Germany;26;Female;3;4;safefund;4;Op1.2;Op2.2;0;0;1;1;3;50;2.50;
3.16.2024 18:55:32;Germany;63;Female;1;1;safefund;2;Op1.1;Op2.1;0;0;0;1;2;50;2.50;
3.17.2024 10:19:04;Germany;68;Male;1;1;safefund;1;Op1.2;Op2.3;0;0;0;1;2;50;2.50;
2024/3/15 18:10:54;Chinese;27;Male;3;2;riskyfund;5;Op1.1;Op2.1;0;0;0;1;2;50;2.50;
2024/3/15 18:32:00;Chinese;49;Female;1;3;safefund;3;Op1.1;Op2.3;0;0;0;0;1;50;2.50;
2024/3/15 18:36:44;Chinese;52;Male;1;3;safefund;5;Op1.1;Op2.2;0;0;1;1;3;22;1.10;
2024/3/15 19:07:03;Chinese;28;Male;4;3;riskyfund;4;Op1.3;Op2.3;1;1;1;1;5;99;4.95;
2024/3/15 19:08:16;Chinese;28;Male;1;1;riskyfund;1;Op1.2;Op2.3;0;0;0;0;1;99;4.95;
2024/3/15 19:40:45;Chinese;45;Female;3;3;riskyfund;4;Op1.2;Op2.2;1;1;1;1;5;1;0.05;
2024/3/15 20:20:55;Chinese;27;Male;1;5;riskyfund;1;Op1.3;Op2.3;1;1;0;1;4;1;0.05;
2024/3/15 20:41:09;Chinese;29;Male;4;1;riskyfund;3;Op1.3;Op2.3;0;1;0;1;3;10;0.50;
2024/3/15 21:37:50;Chinese;24;Female;1;4;safefund;3;Op1.2;Op2.1;0;1;0;0;2;55;2.75;
2024/3/15 21:41:44;Chinese;25;Female;2;3;safefund;3;Op1.1;Op2.1;0;0;0;0;1;15;0.75;
2024/3/15 21:52:39;Chinese;30;Female;5;4;riskyfund;4;Op1.2;Op2.2;1;1;1;1;5;62;3.10;
2024/3/15 21:56:14;Chinese;36;Male;3;2;safefund;5;Op1.1;Op2.1;0;0;1;0;2;66;3.30;
2024/3/15 22:00:31;Chinese;41;Female;4;4;safefund;5;Op1.1;Op2.2;1;1;1;1;5;49;2.45;
2024/3/16 0:08:17;Chinese;36;Female;5;5;safefund;5;Op1.2;Op2.1;1;1;1;1;5;23;1.15;
2024/3/16 0:08:51;Chinese;29;Female;4;4;safefund;4;Op1.1;Op2.1;0;1;1;0;3;50;2.50;
2024/3/16 0:09:34;Chinese;26;Female;5;3;safefund;1;Op1.2;Op2.2;0;0;0;1;2;84;4.20;
2024/3/16 0:09:59;Chinese;39;Male;4;5;riskyfund;5;Op1.3;Op2.3;0;0;1;0;2;68;3.40;
2024/3/16 0:10:38;Chinese;43;Male;5;2;riskyfund;4;Op1.3;Op2.2;0;0;0;0;1;55;2.75;
2024/3/16 0:11:16;Chinese;33;Male;2;5;safefund;2;Op1.2;Op2.2;1;1;1;1;5;93;4.65;
2024/3/16 0:11:51;Chinese;43;Male;5;5;safefund;3;Op1.3;Op2.3;1;0;1;1;4;93;4.65;
2024/3/16 0:12:14;Chinese;35;Male;5;2;riskyfund;4;Op1.2;Op2.2;0;0;0;1;2;83;4.15;
2024/3/16 0:12:44;Chinese;34;Male;5;4;riskyfund;3;Op1.2;Op2.2;1;1;1;1;5;28;1.40;
2024/3/16 0:13:17;Chinese;38;Female;5;4;riskyfund;5;Op1.2;Op2.3;0;0;1;0;2;80;4.00;
2024/3/16 0:14:00;Chinese;25;Male;2;4;riskyfund;5;Op1.3;Op2.3;0;1;1;0;3;84;4.20;
2024/3/16 0:14:23;Chinese;40;Female;4;5;safefund;2;Op1.3;Op2.2;0;0;0;0;1;30;1.50;
2024/3/16 0:15:01;Chinese;38;Male;3;5;safefund;5;Op1.2;Op2.2;0;0;0;1;2;20;1.00;
2024/3/16 0:15:27;Chinese;32;Male;4;1;riskyfund;4;Op1.2;Op2.2;1;1;1;0;4;36;1.80;
2024/3/16 0:16:14;Chinese;29;Female;3;5;safefund;4;Op1.1;Op2.3;0;0;0;0;1;88;4.40;
2024/3/16 0:16:52;Chinese;25;Male;2;2;riskyfund;5;Op1.3;Op2.2;0;0;0;1;2;59;2.95;
2024/3/16 0:17:24;Chinese;34;Female;3;4;safefund;3;Op1.2;Op2.2;0;1;1;0;3;70;3.50;
2024/3/16 0:18:06;Chinese;31;Male;3;3;riskyfund;4;Op1.2;Op2.2;0;0;0;0;1;24;1.20;
2024/3/16 0:18:54;Chinese;25;Female;4;4;safefund;3;Op1.2;Op2.2;1;1;1;1;5;84;4.20;
2024/3/16 0:19:36;Chinese;36;Female;3;2;safefund;3;Op1.2;Op2.1;1;1;1;1;5;75;3.75;
2024/3/16 0:20:25;Chinese;37;Male;5;4;riskyfund;4;Op1.2;Op2.2;1;0;1;1;4;78;3.90;
2024/3/16 0:21:13;Chinese;31;Female;5;5;safefund;4;Op1.3;Op2.3;1;1;0;0;3;72;3.60;
2024/3/16 0:26:57;Chinese;28;Male;2;3;safefund;2;Op1.1;Op2.1;0;0;0;0;1;15;0.75;
2024/3/16 11:43:42;Chinese;53;Female;3;3;riskyfund;5;Op1.2;Op2.2;0;1;0;1;3;80;4.00;
2024/3/16 18:07:50;Chinese;24;Female;5;1;safefund;5;Op1.1;Op2.1;0;0;0;1;2;50;2.50;
2024/3/16 19:02:26;Chinese;25;Female;1;3;safefund;2;Op1.2;Op2.1;0;1;0;1;3;92;4.60;
2024/3/16 19:07:05;Chinese;25;Female;4;2;safefund;5;Op1.1;Op2.1;0;0;0;1;2;80;4.00;
2024/3/16 19:07:24;Chinese;26;Female;2;4;safefund;2;Op1.1;Op2.3;0;0;0;1;2;99;4.95;
2024/3/16 19:12:24;Chinese;25;Male;1;2;safefund;1;Op1.3;Op2.1;0;0;0;1;2;50;2.50;

